SaleDate,ProductName,StoreName,QuantitySold,Revenue,StockAvailable,LeadTimeDays,Promotion,Month,DayOfWeek,DemandLevel
2025-03-18,Router,Hyderabad,6,15000,83,4,0,3,1,Low
2025-12-08,SSD,Hyderabad,21,94500,161,8,1,12,0,High
2025-08-01,Router,Hyderabad,11,27500,234,5,1,8,4,Medium
2025-08-10,Mouse,Delhi,21,14700,83,2,0,8,6,High
2025-05-22,Printer,Chennai,26,468000,206,1,1,5,3,High
2025-09-06,Printer,Mumbai,13,234000,174,2,0,9,5,Medium
2025-01-05,Laptop,Bangalore,8,440000,235,2,1,1,6,Low
2025-08-09,Router,Hyderabad,1,2500,168,10,1,8,5,Low
2025-03-17,Router,Mumbai,25,62500,27,8,1,3,0,High
2025-01-01,Tablet,Delhi,12,360000,115,6,1,1,2,Medium
2025-12-12,Router,Hyderabad,27,67500,70,1,0,12,4,High
2025-07-30,SSD,Delhi,9,40500,165,9,0,7,2,Low
2025-03-03,Tablet,Chennai,3,90000,203,10,0,3,0,Low
2025-01-02,Tablet,Mumbai,14,420000,153,7,0,1,3,Medium
2025-02-07,Mouse,Chennai,7,4900,98,5,0,2,4,Low
2025-05-06,Laptop,Hyderabad,16,880000,76,5,1,5,1,Medium
2025-12-29,SSD,Hyderabad,1,4500,84,7,0,12,0,Low
2025-12-25,SSD,Hyderabad,14,63000,141,6,1,12,3,Medium
2025-11-24,Router,Bangalore,5,12500,237,6,1,11,0,Low
2025-11-14,Tablet,Mumbai,24,720000,46,3,1,11,4,High
2025-07-26,Mouse,Bangalore,29,20300,25,9,1,7,5,High
2025-07-02,Laptop,Chennai,24,1320000,180,6,1,7,2,High
2025-12-11,Keyboard,Hyderabad,23,34500,211,7,0,12,3,High
2025-08-14,Tablet,Chennai,5,150000,85,3,1,8,3,Low
2025-04-08,Router,Chennai,2,5000,103,1,1,4,1,Low
2025-11-03,Router,Chennai,12,30000,35,7,0,11,0,Medium
2025-08-08,Monitor,Hyderabad,7,84000,107,2,0,8,4,Low
2025-01-24,Monitor,Hyderabad,26,312000,158,3,1,1,4,High
2025-06-30,Tablet,Delhi,22,660000,49,2,0,6,0,High
2025-02-09,Mouse,Mumbai,7,4900,46,4,0,2,6,Low
2025-05-12,Laptop,Chennai,7,385000,177,5,0,5,0,Low
2025-04-18,Keyboard,Delhi,2,3000,220,8,0,4,4,Low
2025-03-23,Printer,Mumbai,1,18000,116,1,1,3,6,Low
2025-04-12,SSD,Mumbai,18,81000,34,8,1,4,5,Medium
2025-12-08,Printer,Bangalore,16,288000,102,3,0,12,0,Medium
2025-08-02,Router,Delhi,7,17500,217,2,1,8,5,Low
2025-12-16,SSD,Bangalore,4,18000,98,9,1,12,1,Low
2025-08-10,Printer,Chennai,3,54000,78,3,0,8,6,Low
2025-10-07,Tablet,Delhi,4,120000,236,4,1,10,1,Low
2025-03-28,Tablet,Hyderabad,22,660000,202,6,0,3,4,High
2025-11-07,SSD,Chennai,25,112500,135,6,1,11,4,High
2025-01-28,SSD,Chennai,1,4500,218,9,1,1,1,Low
2025-02-15,Keyboard,Mumbai,24,36000,148,1,1,2,5,High
2025-05-08,SSD,Hyderabad,27,121500,122,1,0,5,3,High
2025-04-17,Monitor,Chennai,21,252000,184,9,1,4,3,High
2025-12-11,Laptop,Delhi,13,715000,153,9,1,12,3,Medium
2025-09-09,SSD,Chennai,2,9000,246,5,1,9,1,Low
2025-06-18,Router,Hyderabad,19,47500,167,2,1,6,2,Medium
2025-02-15,Router,Bangalore,15,37500,99,10,0,2,5,Medium
2025-06-22,Mouse,Chennai,12,8400,62,6,1,6,6,Medium
2025-04-15,Router,Delhi,6,15000,115,7,1,4,1,Low
2025-11-06,Tablet,Mumbai,4,120000,84,9,0,11,3,Low
2025-01-22,Tablet,Chennai,25,750000,102,5,0,1,2,High
2025-03-01,SSD,Hyderabad,3,13500,11,4,1,3,5,Low
2025-11-12,Router,Mumbai,2,5000,208,8,1,11,2,Low
2025-10-16,Monitor,Chennai,8,96000,238,8,0,10,3,Low
2025-08-17,Printer,Delhi,9,162000,18,6,1,8,6,Low
2025-04-09,Keyboard,Delhi,9,13500,105,7,0,4,2,Low
2025-03-04,Router,Chennai,12,30000,23,6,0,3,1,Medium
2025-01-30,Tablet,Hyderabad,3,90000,72,3,0,1,3,Low
2025-01-28,Tablet,Delhi,21,630000,151,10,1,1,1,High
2025-08-12,Laptop,Hyderabad,2,110000,74,2,1,8,1,Low
2025-12-13,Mouse,Delhi,29,20300,141,6,0,12,5,High
2025-10-21,Router,Chennai,8,20000,205,6,1,10,1,Low
2025-12-04,Tablet,Delhi,5,150000,171,3,0,12,3,Low
2025-05-07,Mouse,Chennai,5,3500,169,9,0,5,2,Low
2025-03-07,SSD,Delhi,4,18000,44,4,0,3,4,Low
2025-11-02,Tablet,Delhi,19,570000,215,7,1,11,6,Medium
2025-08-24,SSD,Bangalore,26,117000,247,2,0,8,6,High
2025-11-19,SSD,Hyderabad,1,4500,80,10,0,11,2,Low
2025-05-21,Laptop,Chennai,1,55000,113,10,0,5,2,Low
2025-03-05,Keyboard,Chennai,13,19500,248,3,0,3,2,Medium
2025-07-11,Mouse,Mumbai,22,15400,126,8,0,7,4,High
2025-03-25,SSD,Mumbai,19,85500,212,9,1,3,1,Medium
2025-02-10,Laptop,Delhi,12,660000,184,9,0,2,0,Medium
2025-08-12,Printer,Chennai,12,216000,55,5,1,8,1,Medium
2025-05-12,Mouse,Chennai,24,16800,120,2,0,5,0,High
2025-02-07,Monitor,Delhi,9,108000,205,10,1,2,4,Low
2025-02-17,SSD,Delhi,2,9000,236,3,1,2,0,Low
2025-10-19,Monitor,Bangalore,26,312000,227,3,1,10,6,High
2025-12-07,Keyboard,Bangalore,11,16500,98,2,1,12,6,Medium
2025-05-15,Mouse,Bangalore,28,19600,139,8,1,5,3,High
2025-08-21,Router,Hyderabad,18,45000,185,6,1,8,3,Medium
2025-05-10,Mouse,Delhi,12,8400,107,10,1,5,5,Medium
2025-05-26,SSD,Bangalore,16,72000,241,4,0,5,0,Medium
2025-04-10,Keyboard,Hyderabad,11,16500,204,7,0,4,3,Medium
2025-12-24,Monitor,Chennai,10,120000,160,5,1,12,2,Medium
2025-02-01,Mouse,Chennai,29,20300,176,6,1,2,5,High
2025-10-25,Router,Bangalore,14,35000,250,7,1,10,5,Medium
2025-08-21,Monitor,Bangalore,14,168000,151,8,1,8,3,Medium
2025-09-19,Monitor,Chennai,14,168000,226,2,1,9,4,Medium
2025-12-20,Mouse,Chennai,24,16800,118,8,0,12,5,High
2025-04-14,Printer,Delhi,15,270000,39,2,0,4,0,Medium
2025-03-30,Mouse,Bangalore,26,18200,19,6,0,3,6,High
2025-07-16,Keyboard,Mumbai,15,22500,116,8,0,7,2,Medium
2025-11-10,Router,Mumbai,9,22500,198,6,0,11,0,Low
2025-02-19,Laptop,Mumbai,21,1155000,214,7,0,2,2,High
2025-07-25,Router,Chennai,20,50000,217,2,0,7,4,High
2025-07-29,Monitor,Hyderabad,2,24000,30,5,0,7,1,Low
2025-06-26,Router,Bangalore,26,65000,238,8,0,6,3,High
2025-07-05,Tablet,Delhi,13,390000,51,9,1,7,5,Medium
2025-07-06,SSD,Chennai,17,76500,184,3,1,7,6,Medium
2025-07-29,Monitor,Delhi,6,72000,150,10,1,7,1,Low
2025-01-27,Router,Hyderabad,1,2500,164,3,0,1,0,Low
2025-02-01,Laptop,Bangalore,17,935000,103,9,1,2,5,Medium
2025-09-06,Monitor,Mumbai,28,336000,106,4,1,9,5,High
2025-05-28,Laptop,Chennai,10,550000,104,3,1,5,2,Medium
2025-06-18,Monitor,Mumbai,8,96000,169,6,0,6,2,Low
2025-08-10,Keyboard,Chennai,16,24000,37,5,0,8,6,Medium
2025-08-26,Mouse,Chennai,2,1400,120,10,1,8,1,Low
2025-12-22,Printer,Delhi,26,468000,187,5,0,12,0,High
2025-03-22,Monitor,Hyderabad,13,156000,50,9,0,3,5,Medium
2025-03-09,Keyboard,Delhi,9,13500,202,3,1,3,6,Low
2025-06-24,Keyboard,Bangalore,3,4500,99,4,0,6,1,Low
2025-11-16,Keyboard,Bangalore,21,31500,78,10,1,11,6,High
2025-05-04,Keyboard,Bangalore,17,25500,123,5,0,5,6,Medium
2025-09-04,SSD,Mumbai,23,103500,12,3,1,9,3,High
2025-06-20,Laptop,Mumbai,4,220000,235,6,1,6,4,Low
2025-09-30,Mouse,Delhi,6,4200,132,7,0,9,1,Low
2025-01-17,Monitor,Hyderabad,19,228000,155,3,1,1,4,Medium
2025-10-16,Keyboard,Chennai,27,40500,118,1,1,10,3,High
2025-07-08,SSD,Delhi,13,58500,33,3,1,7,1,Medium
2025-04-22,Tablet,Mumbai,19,570000,216,9,1,4,1,Medium
2025-08-02,Router,Mumbai,11,27500,205,1,1,8,5,Medium
2025-01-25,Mouse,Bangalore,28,19600,81,7,1,1,5,High
2025-02-02,Monitor,Delhi,28,336000,191,9,0,2,6,High
2025-07-31,SSD,Hyderabad,28,126000,165,7,0,7,3,High
2025-10-30,Tablet,Chennai,3,90000,92,7,1,10,3,Low
2025-02-06,Laptop,Chennai,26,1430000,94,4,1,2,3,High
2025-06-30,Printer,Delhi,2,36000,69,3,0,6,0,Low
2025-01-26,Monitor,Mumbai,13,156000,165,8,1,1,6,Medium
2025-08-31,Keyboard,Mumbai,17,25500,33,5,1,8,6,Medium
2025-12-08,Keyboard,Mumbai,29,43500,45,10,0,12,0,High
2025-04-04,Tablet,Delhi,9,270000,126,2,1,4,4,Low
2025-09-15,SSD,Bangalore,10,45000,32,8,0,9,0,Medium
2025-10-06,Mouse,Delhi,22,15400,173,3,1,10,0,High
2025-01-10,Router,Hyderabad,20,50000,235,4,0,1,4,High
2025-09-15,Mouse,Hyderabad,9,6300,50,6,1,9,0,Low
2025-09-10,Tablet,Bangalore,5,150000,215,3,0,9,2,Low
2025-03-08,Router,Delhi,18,45000,114,1,0,3,5,Medium
2025-12-17,Router,Mumbai,6,15000,21,4,1,12,2,Low
2025-09-03,Tablet,Mumbai,12,360000,164,6,1,9,2,Medium
2025-09-07,Mouse,Mumbai,17,11900,134,10,1,9,6,Medium
2025-02-26,SSD,Bangalore,7,31500,198,10,1,2,2,Low
2025-03-07,Mouse,Hyderabad,17,11900,180,1,1,3,4,Medium
2025-08-03,Printer,Chennai,1,18000,132,9,0,8,6,Low
2025-04-10,Monitor,Chennai,9,108000,125,10,1,4,3,Low
2025-07-04,Printer,Hyderabad,9,162000,167,9,0,7,4,Low
2025-12-01,Router,Delhi,16,40000,242,8,0,12,0,Medium
2025-10-02,Router,Delhi,3,7500,205,4,0,10,3,Low
2025-11-14,Router,Chennai,20,50000,187,2,1,11,4,High
2025-11-25,Laptop,Delhi,11,605000,49,8,1,11,1,Medium
2025-11-11,Laptop,Hyderabad,11,605000,158,1,0,11,1,Medium
2025-02-22,Mouse,Chennai,17,11900,96,3,1,2,5,Medium
2025-04-22,Router,Chennai,8,20000,245,1,1,4,1,Low
2025-04-04,Keyboard,Hyderabad,7,10500,191,6,0,4,4,Low
2025-07-20,Tablet,Hyderabad,23,690000,99,4,0,7,6,High
2025-06-26,Printer,Mumbai,16,288000,121,9,0,6,3,Medium
2025-03-21,Mouse,Delhi,26,18200,18,10,0,3,4,High
2025-02-05,Monitor,Chennai,26,312000,81,10,0,2,2,High
2025-03-15,SSD,Delhi,13,58500,113,6,1,3,5,Medium
2025-12-30,Keyboard,Chennai,4,6000,147,4,1,12,1,Low
2025-03-18,Mouse,Delhi,1,700,26,6,0,3,1,Low
2025-06-10,Tablet,Hyderabad,16,480000,62,6,0,6,1,Medium
2025-08-04,SSD,Mumbai,16,72000,105,5,0,8,0,Medium
2025-07-18,Router,Chennai,11,27500,145,3,0,7,4,Medium
2025-10-19,Laptop,Bangalore,3,165000,222,5,0,10,6,Low
2025-04-30,Keyboard,Chennai,27,40500,191,7,0,4,2,High
2025-08-01,Laptop,Bangalore,12,660000,72,8,0,8,4,Medium
2025-05-05,Laptop,Delhi,8,440000,181,6,1,5,0,Low
2025-10-30,Printer,Hyderabad,9,162000,228,3,1,10,3,Low
2025-12-12,Mouse,Delhi,24,16800,128,1,1,12,4,High
2025-11-25,Router,Chennai,10,25000,24,1,1,11,1,Medium
2025-05-19,Router,Hyderabad,15,37500,237,6,1,5,0,Medium
2025-03-12,Mouse,Hyderabad,1,700,151,8,0,3,2,Low
2025-02-19,Laptop,Hyderabad,25,1375000,203,5,0,2,2,High
2025-10-16,Monitor,Delhi,23,276000,110,9,0,10,3,High
2025-01-04,Laptop,Hyderabad,7,385000,236,2,0,1,5,Low
2025-07-28,Printer,Chennai,9,162000,24,9,1,7,0,Low
2025-03-09,Keyboard,Hyderabad,13,19500,172,1,0,3,6,Medium
2025-12-11,Laptop,Hyderabad,19,1045000,234,2,1,12,3,Medium
2025-09-10,Keyboard,Delhi,25,37500,194,1,0,9,2,High
2025-04-26,Laptop,Chennai,11,605000,220,1,0,4,5,Medium
2025-04-16,Tablet,Bangalore,26,780000,164,8,0,4,2,High
2025-10-05,Mouse,Chennai,10,7000,42,2,1,10,6,Medium
2025-06-17,Monitor,Hyderabad,23,276000,131,5,1,6,1,High
2025-11-23,Mouse,Mumbai,7,4900,45,2,0,11,6,Low
2025-11-14,Laptop,Chennai,8,440000,241,2,1,11,4,Low
2025-01-28,Tablet,Delhi,29,870000,49,10,0,1,1,High
2025-06-01,SSD,Bangalore,14,63000,88,4,0,6,6,Medium
2025-02-04,Mouse,Hyderabad,8,5600,144,9,1,2,1,Low
2025-01-08,Laptop,Delhi,6,330000,117,2,1,1,2,Low
2025-10-11,Laptop,Chennai,22,1210000,193,8,0,10,5,High
2025-12-06,Laptop,Mumbai,26,1430000,108,2,1,12,5,High
2025-12-31,Laptop,Bangalore,2,110000,43,9,0,12,2,Low
2025-07-31,Monitor,Bangalore,21,252000,15,4,0,7,3,High
2025-05-30,Mouse,Delhi,2,1400,229,7,1,5,4,Low
2025-12-01,Printer,Chennai,20,360000,49,3,1,12,0,High
2025-07-08,Laptop,Bangalore,18,990000,93,3,1,7,1,Medium
2025-03-02,Mouse,Chennai,24,16800,248,7,0,3,6,High
2025-01-17,Router,Hyderabad,21,52500,114,2,1,1,4,High
2025-11-23,Printer,Hyderabad,18,324000,132,3,1,11,6,Medium
2025-03-31,Monitor,Bangalore,5,60000,173,2,1,3,0,Low
2025-02-17,Laptop,Hyderabad,2,110000,250,5,1,2,0,Low
2025-05-21,Keyboard,Mumbai,25,37500,156,3,0,5,2,High
2025-06-25,Mouse,Chennai,28,19600,214,4,1,6,2,High
2025-11-09,Keyboard,Chennai,20,30000,17,9,1,11,6,High
2025-10-10,Printer,Bangalore,30,540000,114,6,0,10,4,High
2025-03-07,Keyboard,Chennai,5,7500,101,3,0,3,4,Low
2025-01-03,Monitor,Hyderabad,17,204000,32,4,1,1,4,Medium
2025-10-02,Monitor,Bangalore,19,228000,11,9,0,10,3,Medium
2025-04-25,Router,Hyderabad,6,15000,22,1,0,4,4,Low
2025-04-17,Tablet,Delhi,30,900000,146,10,1,4,3,High
2025-07-10,Laptop,Delhi,22,1210000,13,5,0,7,3,High
2025-05-09,Monitor,Bangalore,20,240000,169,2,1,5,4,High
2025-08-29,Printer,Bangalore,27,486000,220,5,0,8,4,High
2025-08-11,Keyboard,Hyderabad,1,1500,186,8,0,8,0,Low
2025-06-28,Mouse,Bangalore,28,19600,169,8,1,6,5,High
2025-03-08,Router,Delhi,16,40000,199,3,0,3,5,Medium
2025-07-02,Mouse,Bangalore,14,9800,147,9,0,7,2,Medium
2025-07-27,Laptop,Mumbai,30,1650000,186,6,0,7,6,High
2025-02-24,Router,Mumbai,16,40000,70,4,1,2,0,Medium
2025-06-11,Monitor,Chennai,4,48000,203,5,0,6,2,Low
2025-04-22,Tablet,Mumbai,25,750000,20,6,0,4,1,High
2025-11-18,SSD,Bangalore,28,126000,216,1,0,11,1,High
2025-07-29,Printer,Chennai,26,468000,133,5,0,7,1,High
2025-10-24,Laptop,Hyderabad,10,550000,108,5,1,10,4,Medium
2025-06-15,Mouse,Chennai,22,15400,37,5,1,6,6,High
2025-03-20,Keyboard,Chennai,19,28500,226,2,0,3,3,Medium
2025-11-15,SSD,Mumbai,25,112500,190,6,0,11,5,High
2025-10-03,Printer,Mumbai,16,288000,76,6,1,10,4,Medium
2025-05-08,Mouse,Delhi,16,11200,158,6,0,5,3,Medium
2025-05-16,Mouse,Mumbai,13,9100,88,8,1,5,4,Medium
2025-11-02,Tablet,Hyderabad,19,570000,229,6,0,11,6,Medium
2025-07-23,Printer,Delhi,13,234000,144,10,0,7,2,Medium
2025-01-28,Router,Chennai,29,72500,163,7,1,1,1,High
2025-12-02,Mouse,Chennai,6,4200,186,8,0,12,1,Low
2025-06-09,Router,Bangalore,2,5000,113,7,1,6,0,Low
2025-02-11,Laptop,Delhi,16,880000,242,7,1,2,1,Medium
2025-12-27,Router,Mumbai,26,65000,151,3,1,12,5,High
2025-09-29,Monitor,Hyderabad,2,24000,135,9,1,9,0,Low
2025-03-10,Router,Delhi,9,22500,92,3,0,3,0,Low
2025-10-27,Router,Chennai,21,52500,103,1,0,10,0,High
2025-01-20,Keyboard,Hyderabad,20,30000,39,3,1,1,0,High
2025-12-06,Tablet,Delhi,17,510000,25,3,1,12,5,Medium
2025-01-03,Printer,Hyderabad,11,198000,142,5,1,1,4,Medium
2025-01-22,Monitor,Chennai,10,120000,146,4,0,1,2,Medium
2025-11-30,Monitor,Bangalore,1,12000,152,5,1,11,6,Low
2025-04-23,Laptop,Bangalore,7,385000,136,7,0,4,2,Low
2025-03-05,SSD,Delhi,22,99000,191,8,1,3,2,High
2025-03-25,Mouse,Delhi,30,21000,21,3,0,3,1,High
2025-01-01,Monitor,Mumbai,12,144000,98,1,0,1,2,Medium
2025-05-30,Laptop,Chennai,25,1375000,27,3,1,5,4,High
2025-07-16,Keyboard,Delhi,10,15000,12,3,1,7,2,Medium
2025-07-26,Laptop,Chennai,18,990000,112,9,1,7,5,Medium
2025-01-05,Keyboard,Delhi,7,10500,50,10,1,1,6,Low
2025-03-11,Tablet,Chennai,21,630000,232,8,0,3,1,High
2025-05-22,SSD,Chennai,7,31500,48,9,1,5,3,Low
2025-07-26,Tablet,Mumbai,17,510000,59,6,0,7,5,Medium
2025-04-20,Tablet,Delhi,1,30000,66,2,1,4,6,Low
2025-04-16,Router,Chennai,11,27500,19,3,1,4,2,Medium
2025-08-02,Keyboard,Chennai,27,40500,126,9,1,8,5,High
2025-01-29,SSD,Chennai,24,108000,68,2,1,1,2,High
2025-07-23,Monitor,Hyderabad,18,216000,67,6,1,7,2,Medium
2025-03-03,Tablet,Bangalore,29,870000,100,2,0,3,0,High
2025-12-20,Router,Delhi,6,15000,44,3,0,12,5,Low
2025-06-06,Keyboard,Hyderabad,25,37500,168,1,1,6,4,High
2025-08-24,Printer,Bangalore,29,522000,67,6,0,8,6,High
2025-05-14,Monitor,Chennai,4,48000,242,5,0,5,2,Low
2025-07-05,SSD,Bangalore,7,31500,74,7,1,7,5,Low
2025-08-19,Printer,Delhi,18,324000,233,4,0,8,1,Medium
2025-04-14,Monitor,Bangalore,22,264000,113,5,0,4,0,High
2025-08-26,Tablet,Hyderabad,11,330000,133,9,0,8,1,Medium
2025-03-18,Laptop,Mumbai,5,275000,137,7,1,3,1,Low
2025-10-24,Printer,Bangalore,23,414000,208,7,0,10,4,High
2025-06-19,Tablet,Chennai,22,660000,38,7,0,6,3,High
2025-04-03,SSD,Chennai,1,4500,200,5,0,4,3,Low
2025-10-06,Keyboard,Bangalore,11,16500,143,8,1,10,0,Medium
2025-12-22,Laptop,Delhi,1,55000,140,4,1,12,0,Low
2025-08-17,Mouse,Bangalore,7,4900,169,7,1,8,6,Low
2025-03-09,Mouse,Mumbai,7,4900,116,6,0,3,6,Low
2025-10-26,SSD,Chennai,24,108000,93,10,1,10,6,High
2025-08-07,Tablet,Hyderabad,1,30000,122,1,0,8,3,Low
2025-04-24,Monitor,Bangalore,2,24000,153,5,0,4,3,Low
2025-01-16,Laptop,Bangalore,26,1430000,238,3,1,1,3,High
2025-12-25,SSD,Bangalore,6,27000,166,8,1,12,3,Low
2025-09-15,Mouse,Hyderabad,11,7700,212,3,1,9,0,Medium
2025-01-27,Laptop,Bangalore,27,1485000,41,9,1,1,0,High
2025-12-05,Tablet,Hyderabad,11,330000,242,5,0,12,4,Medium
2025-10-04,Router,Delhi,14,35000,35,4,0,10,5,Medium
2025-07-17,SSD,Bangalore,8,36000,235,6,1,7,3,Low
2025-02-12,Router,Bangalore,10,25000,174,10,0,2,2,Medium
2025-01-16,Printer,Mumbai,13,234000,48,10,0,1,3,Medium
2025-06-01,SSD,Delhi,7,31500,193,4,1,6,6,Low
2025-07-30,Keyboard,Mumbai,7,10500,83,9,1,7,2,Low
2025-09-01,Laptop,Delhi,8,440000,194,10,1,9,0,Low
2025-10-01,Laptop,Bangalore,25,1375000,111,2,0,10,2,High
2025-04-30,Tablet,Bangalore,22,660000,233,3,1,4,2,High
2025-07-06,Mouse,Bangalore,5,3500,151,3,1,7,6,Low
2025-12-04,Mouse,Chennai,23,16100,209,9,1,12,3,High
2025-08-31,Mouse,Delhi,22,15400,232,9,1,8,6,High
2025-04-08,Printer,Bangalore,1,18000,186,3,1,4,1,Low
2025-06-06,Laptop,Bangalore,18,990000,176,10,1,6,4,Medium
2025-06-24,Monitor,Delhi,14,168000,41,4,1,6,1,Medium
2025-07-23,Printer,Chennai,30,540000,243,9,0,7,2,High
2025-03-04,Keyboard,Chennai,2,3000,163,2,0,3,1,Low
2025-09-12,Keyboard,Hyderabad,19,28500,247,7,0,9,4,Medium
2025-04-15,Tablet,Bangalore,5,150000,228,3,1,4,1,Low
2025-04-17,Tablet,Mumbai,9,270000,75,6,0,4,3,Low
2025-10-12,Monitor,Hyderabad,11,132000,137,6,1,10,6,Medium
2025-09-28,SSD,Chennai,5,22500,202,8,0,9,6,Low
2025-09-27,Tablet,Chennai,6,180000,206,3,1,9,5,Low
2025-10-25,Laptop,Delhi,27,1485000,137,1,1,10,5,High
2025-07-17,SSD,Delhi,17,76500,131,5,1,7,3,Medium
2025-08-26,Tablet,Chennai,24,720000,16,1,0,8,1,High
2025-04-02,Laptop,Chennai,18,990000,250,2,0,4,2,Medium
2025-11-21,Laptop,Delhi,28,1540000,52,10,0,11,4,High
2025-04-07,Monitor,Delhi,26,312000,84,3,1,4,0,High
2025-12-25,Keyboard,Hyderabad,28,42000,74,2,1,12,3,High
2025-06-26,Tablet,Hyderabad,23,690000,183,1,0,6,3,High
2025-04-07,Mouse,Bangalore,25,17500,33,6,0,4,0,High
2025-05-20,SSD,Bangalore,29,130500,158,4,1,5,1,High
2025-06-11,Laptop,Mumbai,12,660000,67,1,1,6,2,Medium
2025-12-20,Tablet,Delhi,1,30000,98,4,1,12,5,Low
2025-10-10,Tablet,Mumbai,9,270000,244,2,0,10,4,Low
2025-01-05,Mouse,Chennai,15,10500,72,9,1,1,6,Medium
2025-07-05,Laptop,Bangalore,15,825000,156,10,1,7,5,Medium
2025-07-03,Mouse,Mumbai,7,4900,183,8,0,7,3,Low
2025-04-23,Monitor,Bangalore,23,276000,12,1,0,4,2,High
2025-11-21,Tablet,Mumbai,11,330000,92,5,0,11,4,Medium
2025-03-24,Router,Bangalore,2,5000,117,9,0,3,0,Low
